,id,name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1237,1dvBRFGN7xXdYREPOQS9Bb,rnb throwbacks,0.1916575961002783,0.6676796657381614,247930.28412256268,0.6259554317548743,0.0002749680779944,5.35933147632312,0.1746459610027854,-6.469479108635092,0.6211699164345403,0.1118142061281337,116.9959944289693,3.991643454038997,0.51371643454039
1238,1Rl5SuCQvrpLCpYExpZtve,remixed throwbacks,0.0885647171314741,0.6850717131474098,188543.09561752988,0.813462151394423,0.0560449722310756,5.641434262948208,0.2070270916334662,-5.095199203187249,0.4820717131474104,0.0799649402390438,123.10825896414336,3.99203187250996,0.490127091633466
1239,66f57aeOM3CDTAqdznc9zv,nostalgic throwbacks,0.1394148518518518,0.6162592592592594,228443.61111111112,0.7408148148148146,0.0205033553703703,4.648148148148148,0.1750518518518518,-5.619851851851852,0.7407407407407407,0.0483981481481481,120.91616666666668,4.018518518518518,0.544888888888889
1240,7pnDzSwEbn4cDttc5ABw8e,disney/nickelodeon throwbacks,0.0999912892255893,0.6186767676767675,182348.3131313132,0.8060101010101008,0.008082329023569,5.08080808080808,0.1909326599326599,-4.903228956228955,0.7373737373737373,0.0738255892255892,127.79584848484856,3.9663299663299663,0.6463232323232323
1241,3hI4dGcQj0OmU6CvQhkpY0,throwbacks,0.1410481290322581,0.6701209677419349,220036.9758064516,0.6915241935483868,0.001393424516129,5.661290322580645,0.1840290322580644,-5.94923387096774,0.6209677419354839,0.1368604838709677,124.38074999999996,4.016129032258065,0.5821935483870968
1242,0PrlDz9dJe5KAaVxCAnRab,2000s rap throwbacks,0.130303877076412,0.7590265780730899,220791.7109634552,0.6208903654485044,0.0019624358139534,5.607973421926911,0.1883039867109634,-6.428973421926909,0.5913621262458472,0.196171096345515,126.2055813953488,4.0066445182724255,0.4630508305647842
1243,14m1PdndQhQ1tyV78zAQpJ,2000s alternative throwbacks,0.0398575422018348,0.5002293577981652,221101.2385321101,0.8256605504587161,0.0035210655963302,5.201834862385321,0.1942009174311927,-4.614816513761469,0.7706422018348624,0.0643752293577981,133.7087064220184,3.963302752293578,0.4875880733944954
1244,5Rq23C6WA2fUF4UGY5tUok,chavy throwback songs,0.0726445130136986,0.6994931506849315,219335.16438356164,0.8144589041095891,0.0467433549315068,5.328767123287672,0.2009787671232876,-5.3832876712328765,0.4794520547945205,0.0887910958904109,128.14630136986295,3.993150684931507,0.6281842465753424
1245,5BD22KcYJywjqn1U6rf9kz,jonas brothers throwbacks,0.0625494814814814,0.5151851851851851,205003.925925926,0.7502592592592591,0.0003147448148148,4.222222222222222,0.2132259259259259,-4.830148148148147,1.0,0.0572148148148148,127.81274074074072,4.0,0.5805185185185183
1246,5GbDQ7HcuzY7giUUqDwQHV,2nd gen kpop throwback,0.110756323076923,0.7025948717948721,212601.11025641023,0.8632820512820516,0.0031614146923076,5.410256410256411,0.2070084615384614,-3.3563307692307704,0.5333333333333333,0.0805792307692307,124.71235641025643,3.994871794871795,0.6877794871794877
1247,0Yc1L50zKBu3WpQx2O0kps,clean throwbacks/ party,0.0821365444444444,0.6937171717171718,221018.9090909091,0.7634646464646468,0.0085664426262626,4.767676767676767,0.2085777777777779,-4.983454545454548,0.5050505050505051,0.0834838383838384,123.51367676767678,4.01010101010101,0.6273131313131314
1248,5YdeyBarfwrreTjB8XVoxh,2010 rnb throwback,0.1275838169014084,0.6609084507042255,242360.24647887325,0.6917676056338028,0.0001670396478873,6.084507042253521,0.2039323943661972,-5.884873239436621,0.5422535211267606,0.151807042253521,119.1141971830986,3.9859154929577465,0.4899514084507041
1249,5Oexk8rPUpYwMLgDkUCRXP,car ride throwbacks,0.1243961014234874,0.6561530249110319,225956.01423487545,0.7488594306049817,0.0019014677935943,5.128113879003559,0.1710562277580071,-5.148683274021352,0.6227758007117438,0.0701558718861209,120.92835231316722,4.00711743772242,0.5946480427046267
1250,2N5t7PxZuglnf59qUH92UU,reggaeton throwbacks,0.1853371929824561,0.7954385964912282,214625.0,0.8051052631578949,0.0108447998245614,5.666666666666667,0.1866087719298245,-5.65359649122807,0.543859649122807,0.1189526315789473,106.07424561403508,3.982456140350877,0.697671929824561
1251,5wWTC7nTC5ZfAeTQOYCfGB,drake's best throwbacks,0.2638493333333333,0.572376811594203,261910.3768115942,0.5899710144927536,0.0019069963768115,5.420289855072464,0.2070159420289855,-7.991115942028986,0.5362318840579711,0.2304884057971014,123.66100000000006,4.0,0.3419101449275362
1252,54M8OXtk3d4rQrAhHnOPhk,top 2000s throwbacks,0.1509357034883721,0.6565038759689924,233343.32170542635,0.730182170542636,0.0039153536434108,5.465116279069767,0.1782627906976745,-5.37101550387597,0.6434108527131783,0.0783193798449612,121.51275581395348,3.972868217054264,0.5637472868217057
1253,5uh8uCS5DKAfEuZlpxT1w7,glod - 2000s throwbacks,0.1228289483146067,0.6918475120385233,229510.92616372395,0.7391637239165327,0.0147475838523274,5.311396468699839,0.184691492776886,-5.504279293739971,0.5296950240770465,0.0893804173354734,119.35134028892472,4.0,0.6088881219903692
1254,4ASGb9HSoMEUekd7ClxZxZ,pop punk throwback bangers - 2000s emo punk rock hits,0.0166304579710145,0.476033816425121,212639.154589372,0.8827874396135266,0.0015727583091787,4.956521739130435,0.2107309178743961,-4.48388888888889,0.7632850241545893,0.0779444444444444,137.88143961352654,3.990338164251208,0.5426333333333334
1255,1jcx158Aup2NAmpUDmGDz2,2010s throwback hits (top 100),0.1261942574257426,0.6435643564356436,228705.4752475248,0.7368811881188121,0.0090575953465346,4.663366336633663,0.182739603960396,-5.148287128712872,0.6237623762376238,0.0741910891089108,116.52177227722773,4.00990099009901,0.5484950495049505
1256,7KbzVhgBxRIYwiSzrDljhO,fire throwbacks,0.0826917962343096,0.6474937238493724,223882.7238493724,0.7784058577405853,0.005117450669456,5.322175732217573,0.1794004184100418,-5.198108786610883,0.6401673640167364,0.0849882845188284,123.96050209205012,3.98744769874477,0.6353765690376569
1257,37i9dQZF1DXaTitkvoNNxt,summer hits of the 10s,0.13985238,0.6944700000000001,214486.97,0.7108299999999999,0.0029694729999999,4.77,0.1759269999999999,-5.432589999999999,0.51,0.085457,118.12879000000004,4.01,0.5779230000000001
